pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,902.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,902.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,902.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,902.47
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,902.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,902.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,902.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,908.38
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,908.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,908.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,908.68
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,908.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,908.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,908.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,914.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,914.68
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,914.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,914.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,914.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,915.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,915.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,920.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,920.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,920.99
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,921.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,921.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,921.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,921.38
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,926.99
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,927.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,927.19
